,,,,,,,,,,,,,,,,,,,,,,,,,
Module Code,User Module,,,,,,,,Pass,,,,,,,,,,,,,,,,
Test requirement,"This sheet contains the test cases for validating all User functions, including login, registration, viewing menu items, managing the shopping cart (add/update/remove), and placing orders. The objective is to ensure that all user-facing features work correctly, meet business rules, and interact with the system and database as expected.",,,,,,,,Fail,,,,,,,,,,,,,,,,
Tester,"Nguy?n Ph?m Hoàng Quân, Nguy?n Tr?n Qu?c Ti?n",,,,,,,,,,,,,,,,,,,,,,,,
Pass,Fail,Untested,N/A,Number of Test cases,,,,,Untesed,,,,,,,,,,,,,,,,
0,0,9,0,9,,,,,N/A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Test Case Description,Test Case Procedure,Expected Output,Test data,Result,Description,,,,,,,,,,,,,,,,,,,
FUNCTION LOGIN,,,,,,,,,,,,,,,,,,,,,,,,,
User-001,Login with valid credentials,1. Open system; 2. Enter valid username; 3. Enter valid password; 4. Click Login,User logged in and redirected to Home screen,validUser / validPass123,,User account must exist in database,,,,,,,,,,,,,,,,,,,
User-002,Login with invalid password,1. Open system; 2. Enter valid username; 3. Enter wrong password; 4. Click Login,System shows error: “Invalid password”,validUser / wrongPass,,User must exist,,,,,,,,,,,,,,,,,,,
FUNCTION REGISTER,,,,,,,,,,,,,,,,,,,,,,,,,
User-003,Register new user,1. Open Register page; 2. Input valid name/email/phone; 3. Input strong password; 4. Click Register,"Registration successful, user is created",name / email / pass,,Email must not exist in DB,,,,,,,,,,,,,,,,,,,
User-004,Register existing email,1. Open Register page; 2. Input email already exists; 3. Click Register,Show error: “Email already exists”,duplicateEmail,,Email exists in DB,,,,,,,,,,,,,,,,,,,
FUNCTION VIEW MENU,,,,,,,,,,,,,,,,,,,,,,,,,
User-005,View menu list,1. Login system; 2. Click Menu from main screen,"Menu list displayed with correct items, prices & images",menu data,,Menu must exist in DB,,,,,,,,,,,,,,,,,,,
FUNCTION ADD TO CART,,,,,,,,,,,,,,,,,,,,,,,,,
User-006,Add item to cart,1. Login; 2. Open menu; 3. Select item; 4. Click Add to cart,Item appears in cart with correct price & quantity,ItemID=1001,,Item must be available,,,,,,,,,,,,,,,,,,,
FUNCTION UPDATE CART,,,,,,,,,,,,,,,,,,,,,,,,,
User-007,Update item quantity in cart,1. Login; 2. Add item to cart; 3. Go to Cart; 4. Increase quantity,Quantity updated successfully,ItemID=1001 / qty=2,,Item must exist in cart,,,,,,,,,,,,,,,,,,,
FUNCTION REMOVE FROM CART,,,,,,,,,,,,,,,,,,,,,,,,,
User-008,Remove item from cart,1. Login; 2. Add item; 3. Open cart; 4. Click Remove,Item removed from cart,ItemID=1001,,Item must exist in cart,,,,,,,,,,,,,,,,,,,
FUNCTION GET CART,,,,,,,,,,,,,,,,,,,,,,,,,
User-009,Get cart items,1. Login; 2. Add at least 1 item to cart; 3. Open cart page,"Cart items displayed with correct qty, price, total",ItemID=1001 qty=1,,Cart must not be empty,,,,,,,,,,,,,,,,,,,
FUNCTION ORDER,,,,,,,,,,,,,,,,,,,,,,,,,
User-010,Checkout with empty cart,1. Login; 2. Open cart; 3. Click Checkout,"System shows error: ""Cart is empty""",(empty cart),,Cart has no items,,,,,,,,,,,,,,,,,,,
User-011,Place order successfully,1. Login; 2. Add items to cart; 3. Open cart; 4. Click Checkout; 5. Confirm order,Order created successfully,payment info + cart items,,Cart must contain at least 1 item,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
